runId,timestamp,flashItemId,threadCount,quantityPerThread,mechanism,successCount,failCount,limitedQty,finalSoldQty,lostUpdateQty,oversoldQty,violationRate,elapsedMs,tps,avgLatencyMs,vsBaselinePercent,targetPassed
RUN-20260714-214931-665,2026-07-14T21:49:31.6670697,FSI-00169,100,1,FILE_LOCK,1,99,41,1,0,0,0.0000,22.3670,44.7087,18.8707,-95.5868,false
RUN-20260714-214931-665,2026-07-14T21:49:31.6670697,FSI-00169,100,1,SYNCHRONIZED,41,59,41,41,0,0,0.0000,674.0357,60.8276,525.2347,-93.9957,false
RUN-20260714-214931-665,2026-07-14T21:49:31.6670697,FSI-00169,100,1,OPTIMISTIC,6,94,41,6,0,0,0.0000,254.0256,23.6197,218.3996,-97.6685,false
RUN-20260715-100019-613,2026-07-15T10:00:19.6140396,FSI-00166,100,1,NO_LOCK,100,0,24,1,99,0,99.0000,350.8917,284.9882,328.2793,0.0000,false
RUN-20260715-100019-613,2026-07-15T10:00:19.6140396,FSI-00166,100,1,FILE_LOCK,1,99,24,1,0,0,0.0000,20.9817,47.6606,4.0112,-83.2763,false
RUN-20260715-100019-613,2026-07-15T10:00:19.6140396,FSI-00166,100,1,SYNCHRONIZED,24,76,24,24,0,0,0.0000,124.3077,193.0693,79.6467,-32.2536,false
RUN-20260715-100019-613,2026-07-15T10:00:19.6140396,FSI-00166,100,1,OPTIMISTIC,7,93,24,7,0,0,0.0000,447.6849,15.6360,356.6410,-94.5135,false
RUN-20260715-094905-095,2026-07-15T09:49:05.0967149,FSI-00167,200,1,NO_LOCK,200,0,96,1,199,0,99.5000,250.8217,797.3792,241.0362,0.0000,false
RUN-20260715-094905-095,2026-07-15T09:49:05.0967149,FSI-00167,200,1,FILE_LOCK,1,199,96,1,0,0,0.0000,31.1362,32.1170,21.2276,-95.9722,false
RUN-20260715-094905-095,2026-07-15T09:49:05.0967149,FSI-00167,200,1,SYNCHRONIZED,96,104,96,96,0,0,0.0000,1996.1401,48.0928,1481.4756,-93.9686,false
RUN-20260715-094905-095,2026-07-15T09:49:05.0967149,FSI-00167,200,1,OPTIMISTIC,10,190,96,10,0,0,0.0000,848.5149,11.7853,739.0275,-98.5220,false
RUN-20260715-113258-516,2026-07-15T11:32:58.5184194,FSI-00172,100,1,NO_LOCK,100,0,87,1,99,0,99.0000,140.3142,712.6862,137.2835,0.0000,false
RUN-20260715-113258-516,2026-07-15T11:32:58.5184194,FSI-00172,100,1,FILE_LOCK,1,99,87,1,0,0,0.0000,25.8321,38.7115,18.7970,-94.5682,false
RUN-20260715-113258-516,2026-07-15T11:32:58.5184194,FSI-00172,100,1,SYNCHRONIZED,87,13,87,87,0,0,0.0000,1649.3402,52.7484,916.9310,-92.5987,false
RUN-20260715-113258-516,2026-07-15T11:32:58.5184194,FSI-00172,100,1,OPTIMISTIC,6,94,87,6,0,0,0.0000,331.4589,18.1018,278.9056,-97.4601,false
RUN-20260720-043006-735,2026-07-20T04:30:06.7381661,FSI-00168,100,1,NO_LOCK,100,0,45,1,99,0,99.0000,121.0360,826.2005,114.8498,0.0000,false
RUN-20260720-043006-735,2026-07-20T04:30:06.7381661,FSI-00168,100,1,FILE_LOCK,1,99,45,1,0,0,0.0000,22.3369,44.7690,17.4391,-94.5813,false
RUN-20260720-043006-735,2026-07-20T04:30:06.7381661,FSI-00168,100,1,SYNCHRONIZED,45,55,45,45,0,0,0.0000,664.0140,67.7697,502.1269,-91.7974,false
RUN-20260720-043006-735,2026-07-20T04:30:06.7381661,FSI-00168,100,1,OPTIMISTIC,12,88,45,12,0,0,0.0000,357.1346,33.6008,291.5230,-95.9331,false
RUN-20260720-043812-351,2026-07-20T04:38:12.3540657,FSI-00172,100,1,NO_LOCK,100,0,87,1,99,0,99.0000,127.5405,784.0647,120.0361,981.2341,false
RUN-20260720-043812-351,2026-07-20T04:38:12.3540657,FSI-00172,100,1,FILE_LOCK,1,99,87,1,0,0,0.0000,22.4370,44.5692,17.0839,-38.5385,false
RUN-20260720-043812-351,2026-07-20T04:38:12.3540657,FSI-00172,100,1,SYNCHRONIZED,87,13,87,87,0,0,0.0000,1199.7399,72.5157,675.4309,0.0000,true
RUN-20260720-043812-351,2026-07-20T04:38:12.3540657,FSI-00172,100,1,OPTIMISTIC,9,91,87,9,0,0,0.0000,274.4489,32.7930,230.2710,-54.7781,false
RUN-20260720-044112-826,2026-07-20T04:41:12.8275254,FSI-00172,100,1,NO_LOCK,100,0,87,1,99,0,99.0000,87.9734,1136.7072,78.1604,1448.3712,false
RUN-20260720-044112-826,2026-07-20T04:41:12.8275254,FSI-00172,100,1,FILE_LOCK,1,99,87,1,0,0,0.0000,22.7676,43.9221,17.3899,-40.1713,false
RUN-20260720-044112-826,2026-07-20T04:41:12.8275254,FSI-00172,100,1,SYNCHRONIZED,87,13,87,87,0,0,0.0000,1185.0747,73.4131,681.3670,0.0000,true
RUN-20260720-044112-826,2026-07-20T04:41:12.8275254,FSI-00172,100,1,OPTIMISTIC,11,89,87,11,0,0,0.0000,347.9450,31.6142,303.0934,-56.9366,false
