repeat,timestamp,itemId,mechanism,threads,quantityPerThread,limitedQty,successCount,failCount,finalSoldQty,lostUpdateQty,explicitOversoldQty,logicalNegativeQty,negativeStockRatePct,consistencyViolationRatePct,totalTimeMs,throughputTps,avgLatencyMs,vsSynchronizedPct,targetPassed
2,2026-07-21T11:52:28.508067600,FSI-00167,NO_LOCK,1000,1,96,1000,0,1,999,0,904,90.4000,99.9000,526.8739,1897.9874,414.6315,3385.0251,false
2,2026-07-21T11:52:28.508067600,FSI-00167,FILE_LOCK,1000,1,96,73,927,73,0,0,0,0.0000,0.0000,360.6389,202.4185,264.3928,271.6746,true
2,2026-07-21T11:52:28.508067600,FSI-00167,SYNCHRONIZED,1000,1,96,96,904,96,0,0,0,0.0000,0.0000,1762.7220,54.4612,1559.2214,0.0000,true
2,2026-07-21T11:52:28.508067600,FSI-00167,OPTIMISTIC,1000,1,96,96,904,96,0,0,0,0.0000,0.0000,2170.3779,44.2319,1925.8902,-18.7827,true
