repeat,timestamp,itemId,mechanism,threads,quantityPerThread,limitedQty,successCount,failCount,finalSoldQty,lostUpdateQty,explicitOversoldQty,logicalNegativeQty,negativeStockRatePct,consistencyViolationRatePct,totalTimeMs,throughputTps,avgLatencyMs,vsSynchronizedPct,targetPassed
3,2026-07-21T11:52:45.284396100,FSI-00167,NO_LOCK,1000,1,96,1000,0,1,999,0,904,90.4000,99.9000,941.9290,1061.6511,899.1296,2344.7555,false
3,2026-07-21T11:52:45.284396100,FSI-00167,FILE_LOCK,1000,1,96,59,941,59,0,0,0,0.0000,0.0000,352.6346,167.3120,142.4921,285.2838,true
3,2026-07-21T11:52:45.284396100,FSI-00167,SYNCHRONIZED,1000,1,96,96,904,96,0,0,0,0.0000,0.0000,2210.6747,43.4257,1942.3763,0.0000,true
3,2026-07-21T11:52:45.284396100,FSI-00167,OPTIMISTIC,1000,1,96,96,904,96,0,0,0,0.0000,0.0000,3054.1865,31.4323,2764.4802,-27.6182,true
