repeat,timestamp,itemId,mechanism,threads,quantityPerThread,limitedQty,successCount,failCount,finalSoldQty,lostUpdateQty,explicitOversoldQty,logicalNegativeQty,negativeStockRatePct,consistencyViolationRatePct,totalTimeMs,throughputTps,avgLatencyMs,vsSynchronizedPct,targetPassed
1,2026-07-21T11:52:09.412755700,FSI-00167,NO_LOCK,1000,1,96,1000,0,1,999,0,904,90.4000,99.9000,896.6703,1115.2371,855.9035,2053.4737,false
1,2026-07-21T11:52:09.412755700,FSI-00167,FILE_LOCK,1000,1,96,43,957,43,0,0,0,0.0000,0.0000,381.9059,112.5932,206.1363,117.4125,true
1,2026-07-21T11:52:09.412755700,FSI-00167,SYNCHRONIZED,1000,1,96,96,904,96,0,0,0,0.0000,0.0000,1853.7177,51.7878,1629.9403,0.0000,true
1,2026-07-21T11:52:09.412755700,FSI-00167,OPTIMISTIC,1000,1,96,96,904,96,0,0,0,0.0000,0.0000,2199.8377,43.6396,1944.1891,-15.7339,true
